"","subj_id","epoch_num","avg_epoch_accuracy","accuracy_sd","avg_rt","rt_sd","block_num","gameA_isSR","game_type","num_rest_in_chunk","rest_type","cue_transition_type","cue_type","epochs_on_this_task_continuously","avg_epoch_accuracy_centered"
"98",157,1,1,0,3271.8,473.864443813957,1,FALSE,"digit_span",18,"epoch_same_same","stay_within_block","stay",1,0.473430420711972
"99",159,1,1,0,2044.52000000011,290.225034528219,1,TRUE,"spatial_recall",4,"epoch_same_same","stay_within_block","stay",1,0.473430420711972
"100",160,1,0,0,NA,NA,1,TRUE,"spatial_recall",9,"epoch_same_same","stay_within_block","stay",1,-0.526569579288028
"101",162,1,0.3,0.483045891539648,3864.19999999925,344.743450505354,1,TRUE,"spatial_recall",20,"epoch_same_same","stay_within_block","stay",1,-0.226569579288028
"102",163,1,0.6,0.516397779494322,3708.44285713775,144.568136838921,1,TRUE,"spatial_recall",12,"epoch_same_same","stay_within_block","stay",1,0.0734304207119723
"103",164,1,0,0,NA,NA,1,TRUE,"spatial_recall",20,"epoch_same_same","stay_within_block","stay",1,-0.526569579288028
"104",11,2,1,0,2560.3,310.684209089837,1,FALSE,"digit_span",11,"epoch_same_same","stay_within_block","stay",2,0.473430420711972
"105",14,2,0.6,0.516397779494322,2279.580000031,390.561319103182,1,TRUE,"spatial_recall",1,"epoch_same_same","stay_within_block","stay",2,0.0734304207119723
"106",15,2,1,0,2062.4400000006,172.515668853806,1,TRUE,"spatial_recall",4,"epoch_same_same","stay_within_block","stay",2,0.473430420711972
"107",16,2,1,0,3172.2,513.749787780437,1,FALSE,"digit_span",4,"epoch_same_same","stay_within_block","stay",2,0.473430420711972
"108",17,2,0.8,0.421637021355784,2624,401.639497204005,1,FALSE,"digit_span",4,"epoch_same_same","stay_within_block","stay",2,0.273430420711972
"109",18,2,0.8,0.421637021355784,2904.88888891538,314.73702695269,1,TRUE,"spatial_recall",2,"epoch_same_same","stay_within_block","stay",2,0.273430420711972
"110",19,2,1,0,2893.8,219.919076025705,1,FALSE,"digit_span",2,"epoch_same_same","stay_within_block","stay",2,0.473430420711972
"111",20,2,0.9,0.316227766016838,3315.1299999997,265.810061884874,1,TRUE,"spatial_recall",20,"epoch_same_same","stay_within_block","stay",2,0.373430420711972
"112",21,2,1,0,2053.4,310.344324903807,1,FALSE,"digit_span",20,"epoch_same_same","stay_within_block","stay",2,0.473430420711972
"113",22,2,0,0,NA,NA,1,TRUE,"spatial_recall",20,"epoch_same_same","stay_within_block","stay",2,-0.526569579288028
"114",24,2,0,0,NA,NA,1,TRUE,"spatial_recall",20,"epoch_same_same","stay_within_block","stay",2,-0.526569579288028
"115",28,2,0,0,NA,NA,1,FALSE,"digit_span",20,"epoch_same_same","stay_within_block","stay",2,-0.526569579288028
"116",30,2,0.9,0.316227766016838,2337.44999999851,630.175663780444,1,TRUE,"spatial_recall",5,"epoch_same_same","stay_within_block","stay",2,0.373430420711972
"117",31,2,0.7,0.483045891539648,2749.86999999881,253.242185577085,1,TRUE,"spatial_recall",20,"epoch_same_same","stay_within_block","stay",2,0.173430420711972
"118",32,2,0.9,0.316227766016838,2882.66666666667,256.464422483899,1,FALSE,"digit_span",1,"epoch_same_same","stay_within_block","stay",2,0.373430420711972
"119",33,2,0.8,0.421637021355784,2176.66666666667,281.506216627626,1,FALSE,"digit_span",2,"epoch_same_same","stay_within_block","stay",2,0.273430420711972
"120",34,2,0.7,0.483045891539648,3566.57142857143,438.551349005206,1,FALSE,"digit_span",20,"epoch_same_same","stay_within_block","stay",2,0.173430420711972
"121",35,2,0,0,NA,NA,1,TRUE,"spatial_recall",20,"epoch_same_same","stay_within_block","stay",2,-0.526569579288028
"122",36,2,0,0,NA,NA,1,TRUE,"spatial_recall",11,"epoch_same_same","stay_within_block","stay",2,-0.526569579288028
"123",38,2,0.5,0.52704627669473,3303.5,254.122017936266,1,TRUE,"spatial_recall",20,"epoch_same_same","stay_within_block","stay",2,-0.0265695792880277
"124",42,2,0.5,0.52704627669473,3213.28571428571,426.508973835141,1,FALSE,"digit_span",3,"epoch_same_same","stay_within_block","stay",2,-0.0265695792880277
"125",43,2,0,0,NA,NA,1,FALSE,"digit_span",20,"epoch_same_same","stay_within_block","stay",2,-0.526569579288028
