"","subj_id","epoch_num","avg_epoch_accuracy","accuracy_sd","avg_rt","rt_sd","block_num","gameA_isSR","game_type","num_rest_in_chunk","rest_type","cue_transition_type","cue_type","epochs_on_this_task_continuously","avg_epoch_accuracy_centered","dataset"
"86",5,2,0.9,0.316227766016838,2567.9,391.571821142113,1,FALSE,"digit_span",3,"epoch_same_same","stay_within_block","stay",2,0.157499999999997,1
"87",6,2,0.7,0.483045891539648,3434.37777777844,385.279096168881,1,TRUE,"spatial_recall",3,"epoch_same_same","stay_within_block","stay",2,-0.0425000000000033,1
"88",8,2,0.9,0.316227766016838,2687.45555556152,343.380339825989,1,TRUE,"spatial_recall",2,"epoch_same_same","stay_within_block","stay",2,0.157499999999997,1
"89",10,2,0.8,0.421637021355784,3294.3125,269.915264145424,1,TRUE,"spatial_recall",20,"epoch_same_same","stay_within_block","stay",2,0.0574999999999968,1
"90",12,2,0,0,NA,NA,1,TRUE,"spatial_recall",15,"epoch_same_same","stay_within_block","stay",2,-0.742500000000003,1
"91",14,2,0.8,0.421637021355784,2579.62222222239,167.357601992338,1,TRUE,"spatial_recall",3,"epoch_same_same","stay_within_block","stay",2,0.0574999999999968,1
"92",17,2,0.1,0.316227766016838,4175.59999990463,NA,1,TRUE,"spatial_recall",20,"epoch_same_same","stay_within_block","stay",2,-0.642500000000003,1
"93",22,2,0.3,0.483045891539648,3600.20000000298,270.199814948415,1,TRUE,"spatial_recall",20,"epoch_same_same","stay_within_block","stay",2,-0.442500000000003,1
"94",24,2,1,0,3064.75,370.093106152753,1,FALSE,"digit_span",1,"epoch_same_same","stay_within_block","stay",2,0.257499999999997,1
"95",25,2,0.5,0.52704627669473,2361.97499999963,844.808799587341,1,TRUE,"spatial_recall",4,"epoch_same_same","stay_within_block","stay",2,-0.242500000000003,1
"96",26,2,1,0,2905.9,247.474034552631,1,FALSE,"digit_span",1,"epoch_same_same","stay_within_block","stay",2,0.257499999999997,1
"97",27,2,0.8,0.421637021355784,2973.61000000238,217.152437241769,1,TRUE,"spatial_recall",6,"epoch_same_same","stay_within_block","stay",2,0.0574999999999968,1
"98",28,2,0.9,0.316227766016838,3080.80999999791,346.938334098537,1,FALSE,"digit_span",2,"epoch_same_same","stay_within_block","stay",2,0.157499999999997,1
"99",29,2,1,0,3211.5,240.106110801963,1,FALSE,"digit_span",20,"epoch_same_same","stay_within_block","stay",2,0.257499999999997,1
"100",30,2,0.7,0.483045891539648,2980.32222222226,438.002730521371,1,FALSE,"digit_span",20,"epoch_same_same","stay_within_block","stay",2,-0.0425000000000033,1
"101",31,2,0,0,NA,NA,1,FALSE,"digit_span",4,"epoch_same_same","stay_within_block","stay",2,-0.742500000000003,1
"102",32,2,0.5,0.52704627669473,2906.84000000004,409.143555898672,1,TRUE,"spatial_recall",20,"epoch_same_same","stay_within_block","stay",2,-0.242500000000003,1
"103",33,2,0.9,0.316227766016838,3181.29999992848,325.311201469181,1,FALSE,"digit_span",2,"epoch_same_same","stay_within_block","stay",2,0.157499999999997,1
"104",34,2,0.9,0.316227766016838,3180.15999999791,409.293720123143,1,FALSE,"digit_span",20,"epoch_same_same","stay_within_block","stay",2,0.157499999999997,1
"105",36,2,1,0,2633.64999999925,289.537421300664,1,FALSE,"digit_span",20,"epoch_same_same","stay_within_block","stay",2,0.257499999999997,1
"106",38,2,0.3,0.483045891539648,3798.85714286566,107.049596874044,1,TRUE,"spatial_recall",12,"epoch_same_same","stay_within_block","stay",2,-0.442500000000003,1
"107",39,2,1,0,2825.5599999845,421.707692862564,1,FALSE,"digit_span",2,"epoch_same_same","stay_within_block","stay",2,0.257499999999997,1
"108",40,2,0.9,0.316227766016838,2821.22222222222,343.765827918431,1,FALSE,"digit_span",1,"epoch_same_same","stay_within_block","stay",2,0.157499999999997,1
"109",41,2,0.9,0.316227766016838,2489.92222222189,256.720328265934,1,TRUE,"spatial_recall",4,"epoch_same_same","stay_within_block","stay",2,0.157499999999997,1
"110",42,2,1,0,3433.8399999857,340.574394583701,1,FALSE,"digit_span",20,"epoch_same_same","stay_within_block","stay",2,0.257499999999997,1
"111",43,2,1,0,1972.33999999911,300.134222566982,1,TRUE,"spatial_recall",2,"epoch_same_same","stay_within_block","stay",2,0.257499999999997,1
"112",44,2,0.9,0.316227766016838,2619.92,401.497659602969,1,FALSE,"digit_span",6,"epoch_same_same","stay_within_block","stay",2,0.157499999999997,1
"113",45,2,1,0,2493.98999999836,190.712147547924,1,TRUE,"spatial_recall",20,"epoch_same_same","stay_within_block","stay",2,0.257499999999997,1
